Find ID,Barcode ID,type,value,Protocol
6751/3,Reindeer,Acid_P1105,0.85,Acid_P1105
6751/4,Reindeer,Ambic_P1105,0.77,Ambic_P1105
6751/4,Reindeer,Acid_P1105,0.84,Acid_P1105
6751/5,Reindeer,Ambic_P1105,0.78,Ambic_P1105
6751/5,Reindeer,Acid_P1105,0.92,Acid_P1105
6751/6,Reindeer,Ambic_P1105,0.75,Ambic_P1105
6751/6,Reindeer,Acid_P1105,0.78,Acid_P1105
6748/11,Equidae,Ambic_P1105,0.74,Ambic_P1105
6748/11,Equidae,Acid_P1105,0.88,Acid_P1105
6748/2,Reindeer,Ambic_P1105,0.8,Ambic_P1105
6748/2,Reindeer,Acid_P1105,0.86,Acid_P1105
6748/4,Reindeer,Ambic_P1105,0.88,Ambic_P1105
6748/4,Reindeer,Acid_P1105,0.75,Acid_P1105
6748/5,Reindeer,Ambic_P1105,0.81,Ambic_P1105
6748/5,Reindeer,Acid_P1105,0.88,Acid_P1105
6748/6,Reindeer,Ambic_P1105,0.83,Ambic_P1105
6748/6,Reindeer,Acid_P1105,0.85,Acid_P1105
6491/2,Reindeer,Ambic_P1105,0.72,Ambic_P1105
6491/2,Reindeer,Acid_P1105,0.83,Acid_P1105
6491/4,Reindeer,Ambic_P1105,NA,Ambic_P1105
6491/4,Reindeer,Acid_P1105,0.67,Acid_P1105
6491/8,Reindeer,Ambic_P1105,0.79,Ambic_P1105
6491/8,Reindeer,Acid_P1105,0.82,Acid_P1105
6491/10,Reindeer,Ambic_P1105,NA,Ambic_P1105
6491/10,Reindeer,Acid_P1105,NA,Acid_P1105
6491/16,Reindeer,Ambic_P1105,0.78,Ambic_P1105
6491/16,Reindeer,Acid_P1105,0.83,Acid_P1105
6491/17,Reindeer,Ambic_P1105,0.84,Ambic_P1105
6491/17,Reindeer,Acid_P1105,0.92,Acid_P1105
6491/19,Reindeer,Ambic_P1105,NA,Ambic_P1105
6491/19,Reindeer,Acid_P1105,0.74,Acid_P1105
6491/20,Reindeer,Ambic_P1105,NA,Ambic_P1105
6491/20,Reindeer,Acid_P1105,0.88,Acid_P1105
6491/21,Reindeer,Ambic_P1105,NA,Ambic_P1105
